name,address,district,phone,category,cuisine_type,price_range,halal_certified,description,website,features
"Original Penang Kayu Nasi Kandar","200 Jln Sultan, Singapore 199018","Kampong Glam","6293 1769","restaurants","malaysian","budget","yes","Authentic Penang-style nasi kandar","","halal-certified,nasi-kandar,curry"
"Ayam Penyet President","130 Amoy St, Singapore 049964","Chinatown","6224 5613","restaurants","indonesian","budget","yes","Indonesian fried chicken specialist","","halal-certified,fried-chicken,sambal"
"Straits Chinese Nonya Restaurant","39 Pagoda St, Singapore 059192","Chinatown","6223 1126","restaurants","peranakan","mid-range","yes","Halal Peranakan cuisine with traditional flavors","","halal-certified,peranakan-cuisine,heritage"
"Delhi Restaurant","60 Race Course Rd, Singapore 218564","Little India","6296 4585","restaurants","indian","budget","yes","North Indian cuisine with tandoor specialties","","halal-certified,tandoor,north-indian"
"Bismillah Biryani","745 North Bridge Rd, Singapore 198713","Kampong Glam","6298 5765","restaurants","indian","budget","yes","Authentic Indian biryani and curry house","","halal-certified,biryani,indian-curry"
"Nasi Lemak Ayam Taliwang","21 Bali Ln, Singapore 189862","Kampong Glam","6292 4053","restaurants","indonesian","budget","yes","Indonesian nasi lemak with ayam taliwang","","halal-certified,nasi-lemak,grilled-chicken"
"Singapore Zam Zam Restaurant","1 Changi Business Park Crescent, Singapore 486025","Changi","6542 8320","restaurants","indian","budget","yes","Branch of famous Zam Zam with murtabak and briyani","","halal-certified,murtabak,biryani"
"Swee Choon Tim Sum Restaurant","191 Joo Chiat Rd, Singapore 427453","Joo Chiat","6344 0688","restaurants","chinese","budget","yes","Halal dim sum restaurant with traditional favorites","","halal-certified,dim-sum,chinese-cuisine"
"Hajjah Mariam Cafe","11A Jln Berseh, Singapore 200011","Little India","6295 2308","cafes","malay","budget","yes","Traditional Malay cafe with local coffee and kaya toast","","halal-certified,local-coffee,kaya-toast"
"Pasar Bella","101 Tanjong Pagar Rd, Singapore 088522","Tanjong Pagar","6227 0568","food-courts","various","budget","yes","Halal food court with multiple vendors","","halal-certified,food-court,variety"
"Yakiniku Like","313 Orchard Rd, Singapore 238895","Orchard","6509 8901","restaurants","japanese","mid-range","yes","Individual portion yakiniku with halal wagyu beef","","halal-certified,wagyu-beef,individual-portions"
"Halal Guys","2 Orchard Turn, Singapore 238801","Orchard","6509 9876","fast-food","middle-eastern","budget","yes","Famous NYC halal food chain with chicken and rice","","halal-certified,chicken-rice,fast-food"
"Burger King","Multiple Locations","Various","Various","fast-food","western","budget","yes","International burger chain with halal-certified meat","https://burgerking.com.sg","halal-certified,burgers,fast-food"
"KFC","Multiple Locations","Various","Various","fast-food","western","budget","yes","Fried chicken chain with halal certification","https://kfc.com.sg","halal-certified,fried-chicken,fast-food"
"McDonald's","Multiple Locations","Various","Various","fast-food","western","budget","yes","Global fast food chain with halal menu","https://mcdonalds.com.sg","halal-certified,burgers,fast-food"
